name,url,price,location,image,category,likes,city
BURLWOOD COFFEE TABLE WITH BASE:FOR SALE OR TRADE,http://sfbay.craigslist.org/sfc/fuo/5435048501.html,$450,SAN FRANCISCO,http://images.craigslist.org/01010_1yJVB5tZrbs_300x300.jpg,coffee_table,0,sfbay
BURLWOOD COFFEE TABLE WITH BASE:FOR SALE OR TRADE,http://sfbay.craigslist.org/sfc/fuo/5432798851.html,$450,SAN FRANCISCO,http://images.craigslist.org/01010_1yJVB5tZrbs_300x300.jpg,coffee_table,0,sfbay
Brass and Glass Coffee Table and Side Table Set,http://sfbay.craigslist.org/sby/fuo/5452625218.html,$60,cupertino,http://images.craigslist.org/00w0w_d0RExuIWeuI_300x300.jpg,coffee_table,0,sfbay
"McGuire outdoor coffee table, stunning, still new, orig price $1200!!!",http://sfbay.craigslist.org/sfc/fuo/5438375345.html,$80,potrero hill,http://images.craigslist.org/00000_gEf6hBgH7Xs_300x300.jpg,coffee_table,0,sfbay
Mid Century Milo Baughman Brass Swivel Coffee Table,http://sfbay.craigslist.org/eby/fuo/5448155866.html,$250,vallejo / ben,http://images.craigslist.org/00u0u_kp1K7xM3tX6_300x300.jpg,coffee_table,0,sfbay
Old Growth Redwood Lace Burl Coffee Table 5 foot,http://sfbay.craigslist.org/eby/fuo/5432750059.html,$2995,vallejo / benicia,http://images.craigslist.org/00m0m_4lQYhIFNmLH_300x300.jpg,coffee_table,0,sfbay
Elegant Art Deco Italian Coffee Table and 2 Lamp Tables,http://sfbay.craigslist.org/eby/fuo/5442881523.html,$349,fairfield / vacaville,http://images.craigslist.org/00n0n_k6HVIy1PbmJ_300x300.jpg,coffee_table,0,sfbay
redwood burl coffee table,http://sfbay.craigslist.org/eby/fuo/5419493452.html,$425,oakland rockridge / claremont,http://images.craigslist.org/01313_8aUZNqsccqe_300x300.jpg,coffee_table,0,sfbay
Redwood Burl Coffee Table,http://sfbay.craigslist.org/eby/fuo/5451423703.html,$900,richmond / point / annex,http://images.craigslist.org/00R0R_2yBmEiN3Tlk_300x300.jpg,coffee_table,0,sfbay
Noguchi coffee table (replica),http://sfbay.craigslist.org/sfc/fuo/5451403071.html,$229,sunset / parkside,http://images.craigslist.org/00d0d_83DpvvLaKWs_300x300.jpg,coffee_table,0,sfbay
REDWOOD BURL COFFEE TABLE,http://sfbay.craigslist.org/nby/fuo/5418398296.html,$600,peta,http://images.craigslist.org/00707_4EaNl9nySCa_300x300.jpg,coffee_table,0,sfbay
BURLWOOD COFFEE TABLE WITH BASE:FOR SALE OR TRADE,http://sfbay.craigslist.org/sfc/fuo/5447994305.html,"",SAN FRANCISCO,http://images.craigslist.org/01010_1yJVB5tZrbs_300x300.jpg,coffee_table,0,sfbay
Vintage Brass Coffee Table,http://sfbay.craigslist.org/sfc/fuo/5451058124.html,$150,marina / cow hollow,http://images.craigslist.org/00B0B_kirxhnbCwpz_300x300.jpg,coffee_table,0,sfbay
